days,stdev
,0.0132784497465317
1,0.00375047929657894
2,0.0098557425245951
3,0.0129698697471967
4,0.0153543532597593
5,0.012852159651794
6,0.0256745032565818
7,0.0189733266915112
8,0.0169014105680861
9,0.0198676696005632
10,0.0136092584381747
11,0.0121048776900953
12,0.0106971968231313
13,0.0183271694538142
14,0.0165405059855305
15,0.0122799050450649
16,0.0152049026175376
17,0.0138692971555559
18,0.0137039707520123
19,0.0145097397936344
20,0.0117491912663859
21,0.0148031338337993
22,0.0121467716948078
23,0.00622965656189258
24,0.0129789127092088
25,0.0145249963761518
26,0.0101411202603766
27,0.00781919099960154
28,0.0131788989959601
29,0.00798128616419836
30,0.0109954657994869
31,0.0172913925115289
32,0.0232883175858736
33,0.0120651325996475
34,0.0108671149867717
35,0.0375995458819311
36,0.0131889738811238
37,0.0129495507314007
38,0.0130565928248582
39,0.0369112586876636
40,0.0336337379818974
41,0.0433971942913777
42,0.0408026226091075
43,0.0310506011674433
44,0.018192427784092
45,0.0076663247143126
46,0.0118540731657947
47,0.00653868392979488
48,0.0134483986828036
49,0.0136878699770529
50,0.0112870852623558
51,0.00888374300736185
52,0.00933261113276672
53,0.0117509365224198
54,0.0123441223022629
